0.5,1,-1.00684,-1.00684,0
0.5,2,-1.00282,-1.00483,0.00200704
0.5,3,-1.0033,-1.00432,0.00126625
0.5,4,-1.00348,-1.00411,0.000919533
0.5,5,-0.997428,-1.00277,0.0015144
0.5,6,-0.998705,-1.0021,0.00141021
0.5,7,-0.999871,-1.00178,0.00123348
0.5,8,-1.00667,-1.00239,0.00123079
0.5,9,-0.998773,-1.00199,0.00115743
0.5,10,-0.999314,-1.00172,0.00106919
0.5,11,-1.00933,-1.00241,0.00118897
0.5,12,-0.997623,-1.00201,0.00115641
0.5,13,-1.00024,-1.00188,0.00107248
0.5,14,-0.999853,-1.00173,0.00100338
0.5,15,-0.991462,-1.00105,0.00115814
0.5,16,-1.00808,-1.00149,0.00116904
0.5,17,-1.00836,-1.00189,0.00117015
0.5,18,-1.00436,-1.00203,0.00111174
0.5,19,-1.00441,-1.00215,0.00105904
0.5,20,-1.0007,-1.00208,0.00100731
0.5,1,-1.00264,-1.00264,0
0.5,2,-1.00417,-1.0034,0.000767
0.5,3,-1.00431,-1.00371,0.00053693
0.5,4,-1.00431,-1.00386,0.000408077
0.5,5,-1.0024,-1.00357,0.000429415
0.5,6,-1.00088,-1.00312,0.000568541
0.5,7,-1.0094,-1.00402,0.00101831
0.5,8,-1.00355,-1.00396,0.000883772
0.5,9,-0.997352,-1.00322,0.00107068
0.5,10,-1.00783,-1.00368,0.00106264
0.5,11,-1.00832,-1.00411,0.00104938
0.5,12,-1.00756,-1.00439,0.0010002
0.5,13,-1.00577,-1.0045,0.000926094
0.5,14,-1.00725,-1.0047,0.000879552
0.5,15,-1.0014,-1.00448,0.000847704
0.5,16,-1.00213,-1.00433,0.000806376
0.5,17,-1.00767,-1.00453,0.000782506
0.5,18,-1.01075,-1.00487,0.000814735
0.5,19,-1.00061,-1.00465,0.000802705
0.5,20,-1.00566,-1.0047,0.000763206
